"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
788,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,5,5,100,4500,500,0,0,0,450000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,120,0,0,2.21893368938057e-06,1.22354114528713e-05,NA,1,1,99.913923757317,100,1,88.7948845499974,99.7678763000107,99.9134408444076,99.913923757317,22.9192796041748,0.579603245398504,0.00136921782547604,2.21893368938057e-06
789,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,15,15,100,4500,1500,0,0,0,450000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,1,99.0580578979325,100,1,0,0,1.87430557359503,2.1424729670588,NA,45.5562358615884,4.17508189127353,1.94348831910043,1.87430557359503,87.4105051087163,97.4860475729629,97.3794980898854,99.0580578979325
790,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,15,15,100,4500,1500,0,0,0,450000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,30,0,0,3.65162720244048e-06,2.01354206071811e-05,NA,1,1,99.9139227252487,100,1,77.0401681939764,99.4867477923281,99.9129294116252,99.9139227252487,47.1838637811057,1.25713729868007,0.00226154522257482,3.65162720244048e-06
791,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,15,15,100,4500,1500,0,0,0,450000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,60,0,0,0.000459711302922167,0.00252968722509919,NA,1,1,99.9137387295648,100,1,73.8461930547256,96.1091803880913,99.8349938623942,99.9137387295648,58.2676751924899,12.5874728310351,0.228427276569136,0.000459711302922167
792,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,15,15,100,4500,1500,0,0,0,450000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,120,0,0,0.0808011302823132,0.14359404871301,NA,1,1,99.8928162879591,100,1,79.3628992271879,98.2936264718139,99.7790317203957,99.8928162879591,45.3275916413973,4.70565260844454,0.400935974547977,0.0808011302823132
793,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,30,30,100,4500,3000,0,0,0,450000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,1,97.5590081914345,100,1,0,0,0.883238940069834,1.18138623659534,NA,43.4429991910696,8.03471086728512,1.77557290451985,0.883238940069834,86.5165777895396,96.1690921383958,97.9975070707729,97.5590081914345
794,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,30,30,100,4500,3000,0,0,0,450000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,30,1,1,89.0816581021002,96.0210131115171,8,0,0,13.1689584957388,15.4315116152745,NA,45.4072152582452,35.4400110294001,18.1004231876038,13.1689584957388,86.6807198597357,85.0616787045166,88.4875666945513,89.0816581021002
795,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,30,30,100,4500,3000,0,0,0,450000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,60,1,1,96.7542303970881,98.7987384491186,2,0,0,5.88566885880381,6.39786066095486,NA,43.4261801376433,19.5989535331395,9.97523254765927,5.88566885880381,90.0581618600521,90.0788681515922,93.0022486684615,96.7542303970881
796,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,30,30,100,4500,3000,0,0,0,450000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,120,0.25,0.25,7.38777822672996,9.9100312086008,NA,0.75,0.75,96.3383052097447,97.5588702570788,1,59.8481624471171,80.39658071722,92.9829509233715,96.3383052097447,72.5723717101887,40.306324560099,15.5500658125351,7.38777822672996
797,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,45,45,100,4500,4500,0,0,0,450000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,1,99.7285042037961,100,1,0,0,0.0275696661732862,0.064405258639618,NA,28.6191965059481,1.51515853158002,0.218174287309838,0.0275696661732862,94.0618227842261,98.8234997948433,99.2730437625085,99.7285042037961
