"height","width","days","years","TOTALN","TOTALP","lossSAV","lossFP","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","numbFPspecies","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","halfsatBSAV","halfsatB01","halfsatB02","halfsatB03","halfsatB04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","halfsatPSAV","halfsatP01","halfsatP02","halfsatP03","halfsatP04","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","lightlimitation","shadingbyFP","lightattenuation","wind_avg","wind_std","prob_up","prob_down","prob_left","prob_right","wind_direction","lightlimitation_FP","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV"
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,50,50,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,3.45558403964388e-09,2.08600988858715e-08,NA,1,1,98.6094522289228,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,50,50,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,4.62358685442991e-05,0.000279109035766847,NA,1,1,98.6089347750596,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,50,100,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,3.45437515091657e-09,2.08528012661099e-08,NA,1,1,98.6094522288764,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,50,100,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,1,1,84.0672819217946,97.3333428486645,23,1,1,95.3913221404511,100,10
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,100,0,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.11805204228562e-12,4.90057155088194e-11,NA,1,1,98.6094524147448,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,100,0,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.7031921522565e-12,5.25379926625833e-11,NA,1,1,98.6094524146191,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,100,50,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,1.49686081280026e-09,9.03600208105451e-09,NA,1,1,98.6094523302696,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,100,50,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.97540556310179e-09,5.41812456120876e-08,NA,1,1,98.6094519084476,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,100,100,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,1.68649032462569e-09,1.0180726192228e-08,NA,1,1,98.6094523198645,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,5,100,100,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0.142857142857143,0.142857142857143,1.65662071835671e-08,1.00004142872008e-07,NA,1,1,98.6094514067039,100,4
