"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
11,20,20,5,5,"rectangle",400,"small",1,1,120,4,1,0.25,4,1,1,100,5,5,100,4,20,0,0,0,400,2000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,30,0,0,0.00293085686915879,0.0163624445423977,NA,0.75,0.75,99.8736502499474,100,1,33.5915433302011,75.6904512720406,94.8820283870723,99.8736502499474,31.5346522233218,14.7004864243533,2.38652621270288,0.00293085686915879
12,300,300,5,5,"rectangle",90000,"XL",1,1,120,4,1,0.25,4,1,1,100,5,5,100,900,4500,0,0,0,90000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.25,0.25,0.25,0.25,"all",600,30,0,0,3.93858895679063e-05,0.000230033717923799,NA,0.75,0.75,99.9135002252803,100,1,30.3863437767269,92.7514014219456,99.7562800353982,99.9135002252803,27.4668436165569,2.77199490622629,0.04414904737355,3.93858895679063e-05
13,250,250,5,5,"rectangle",62500,"large",1,1,120,4,1,0.25,4,1,1,100,5,5,100,625,3125,0,0,0,62500,312500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,30,0,0,1.8825348484928e-06,1.10046609198591e-05,NA,0.75,0.75,99.9138998671781,100,1,31.1160507662135,93.3442130975523,99.8737887444081,99.9138998671781,28.2222733988145,2.58543285193576,0.00438169248926526,1.8825348484928e-06
14,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,30,0,0,3.52429376010631e-05,0.000206016978073043,NA,0.75,0.75,99.913787114645,100,1,32.2073102282019,90.2798096466203,99.7621373249251,99.913787114645,32.5586441976448,5.00880194310094,0.0425468287530572,3.52429376010631e-05
15,20,20,5,5,"rectangle",400,"small",1,1,120,4,1,0.25,4,1,1,100,5,5,100,4,20,0,0,0,400,2000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,30,0,0,6.99991914726333e-07,4.09191652534663e-06,NA,0.75,0.75,99.9139149967358,100,1,36.313380133179,94.3283834651497,99.9024701527246,99.9139149967358,27.7258727425015,3.01742523707145,0.00228122155094532,6.99991914726333e-07
16,300,300,5,5,"rectangle",90000,"XL",1,1,120,4,1,0.25,4,1,1,100,5,5,100,900,4500,0,0,0,90000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.1,0.7,0.1,0.1,"up",600,30,0,0,2.25807238368222e-05,0.000131998784471568,NA,0.75,0.75,99.9134296083171,100,1,24.540892898969,88.6690376577946,99.7044666120553,99.9134296083171,37.782026122544,5.61689848567831,0.0301647898210773,2.25807238368222e-05
17,250,250,5,5,"rectangle",62500,"large",1,1,120,4,1,0.25,4,1,1,100,15,15,100,625,9375,0,0,0,62500,937500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,30,0,0,4.92531166585102e-05,0.000287915615107209,NA,0.75,0.75,99.9136936623464,100,1,24.6230111155453,90.157434676145,99.7337568466428,99.9136936623464,34.6424190655084,4.15304209060468,0.0555308199254475,4.92531166585102e-05
18,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,30,0,0,0.00232651133643883,0.0118326250435727,NA,0.5,0.5,99.8825022452837,100,1,14.5512926584619,65.8586078841127,95.8099961886328,99.8825022452837,58.2879445508159,21.2684168127778,2.03985596820627,0.00232651133643883
19,20,20,5,5,"rectangle",400,"small",1,1,120,4,1,0.25,4,1,1,100,15,15,100,4,60,0,0,0,400,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,30,0,0,0.00705525150871298,0.0366083954372039,NA,0.5,0.5,99.8218209930775,100,1,19.9326017143043,64.194163951928,90.5828374263634,99.8218209930775,47.1103555753528,21.4480196679784,5.32356134606738,0.00705525150871298
20,300,300,5,5,"rectangle",90000,"XL",1,1,120,4,1,0.25,4,1,1,100,15,15,100,900,13500,0,0,0,90000,1350000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.25,0.25,0.25,0.25,"all",600,30,0,0,4.66438565428289e-05,0.000272661950401761,NA,0.75,0.75,99.9136933224945,100,1,22.5292125179814,88.1643221392515,99.680938598564,99.9136933224945,37.3212358789664,5.35535879930075,0.054967058231434,4.66438565428289e-05
