"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
21,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,0,0,4.68947540380679e-11,2.74130909897366e-10,NA,1,1,99.9139250066078,100,1,79.7378147120849,99.9016826446971,99.9139120446661,99.9139250066078,1.08757109853162,0.000499875420582503,1.53106168905142e-07,4.68947540380679e-11
22,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,2,0,0,6.19671776212655e-11,3.62239212754996e-10,NA,1,1,99.9139250059522,100,1,79.6830236085415,99.9010709506661,99.9139114418621,99.9139250059522,1.24689253039055,0.000660540204488694,2.02315959609336e-07,6.19671776212655e-11
23,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,5,0,0,8.49201818753923e-11,4.96414731320533e-10,NA,1,1,99.9139250040426,100,1,79.0967175397876,99.89891660272,99.9139096508527,99.9139250040426,1.41609353199603,0.000905208678192841,2.77254971883937e-07,8.49201818753923e-11
24,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,10,0,0,1.33371045583912e-10,7.79642133322553e-10,NA,1,1,99.913925002385,100,1,78.9378564293832,99.8976736985704,99.9139081440879,99.913925002385,1.92403372608126,0.00142167497262662,4.35441666400611e-07,1.33371045583912e-10
25,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,0,0,1.6258924666377e-10,9.50441878664586e-10,NA,1,1,99.9139250001387,100,1,77.6128922134399,99.8956190401371,99.9139060409301,99.9139250001387,3.2389103606212,0.0017331204832066,5.3083585133507e-07,1.6258924666377e-10
26,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,2,0,0,3.1095871688686e-10,1.81775974198513e-09,NA,1,1,99.9139249916545,100,1,75.2377861685766,99.8875877190904,99.9138981615385,99.9139249916545,6.44118619226969,0.0033146554039787,1.01524571006452e-06,3.1095871688686e-10
27,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,5,0,0,5.01651312753816e-10,2.93248431806958e-09,NA,1,1,99.9139249824698,100,1,74.3152947665214,99.8743832038118,99.913889684585,99.9139249824698,7.60960012942907,0.00534689725313146,1.63783587912193e-06,5.01651312753816e-10
28,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,10,0,0,4.13498667333382e-10,2.41717369549218e-09,NA,1,1,99.9139249887866,100,1,75.0832755266637,99.8855575474775,99.9138955861312,99.9139249887866,6.66493456828641,0.0044077063517971,1.35002727213717e-06,4.13498667333382e-10
29,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,5,5,100,15,15,100,500,1500,0,0,0,50000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,0,0,5.73438142507259e-10,3.3521259040557e-09,NA,0.75,1,99.9139249745714,100,1,69.0741862419341,99.8722861596327,99.9138822347945,99.9139249745714,12.373317340481,0.00611258529471828,1.87221191322823e-06,5.73438142507259e-10
30,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,5,5,100,15,15,100,500,1500,0,0,0,50000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,2,0,0,6.32324012546038e-10,3.69635283231103e-09,NA,0.75,1,99.9139249680217,100,1,67.2325712411846,99.8643204812211,99.913876058509,99.9139249680217,14.334258126667,0.00674021740621766,2.06446774594325e-06,6.32324012546038e-10
