"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
561,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,2,0.5,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,3.58231021203589e-09,2.12177979378456e-08,NA,1,1,99.9180183915001,100,1,74.6300536125648,99.8743025235987,99.9179835240648,99.9180183915001,15.4723934630437,0.0312994218527503,1.0591858202667e-05,3.58231021203589e-09
562,20,20,5,5,"rectangle",400,"small",1,1,125,4,2,0.5,4,5,5,100,5,5,100,20,20,0,0,0,2000,2000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,3.15935163588002e-09,1.87126409154404e-08,NA,1,1,99.9180183926755,100,1,74.078433842637,99.8744775878613,99.9179846126329,99.9180183926755,13.3628353605098,0.0276082132504299,9.34129045323778e-06,3.15935163588002e-09
563,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,3,0.75,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,5.46040863565031e-08,3.12863196088978e-07,NA,1,1,99.9180182715247,100,1,71.8517610733516,99.7218266028316,99.9178745569922,99.9180182715247,23.5125324698129,0.210330751601074,0.000145108910599743,5.46040863565031e-08
564,20,20,5,5,"rectangle",400,"small",1,1,125,4,3,0.75,4,5,5,100,5,5,100,20,20,0,0,0,2000,2000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.06188283949477e-08,6.08426773463046e-08,NA,1,1,99.91801837143,100,1,74.5532600872239,99.8454104443834,99.9179639795171,99.91801837143,17.8807492855028,0.0726800599016618,2.82409883064488e-05,1.06188283949477e-08
565,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,4,1,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.7202071436022e-05,0.000100419999006016,NA,0.75,1,99.918007403802,100,1,63.2881117698606,98.3300133726471,99.9075738065105,99.918007403802,39.4348560999413,2.96161085690543,0.0238824065932042,1.7202071436022e-05
566,20,20,5,5,"rectangle",400,"small",1,1,125,4,4,1,4,5,5,100,5,5,100,20,20,0,0,0,2000,2000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,0.000722616275395852,0.00421816199428061,NA,0.75,0.75,99.9177804409103,100,1,59.9539902627844,97.1701276109195,99.7772168143988,99.9177804409103,40.677462818436,3.72755068825887,0.36735342953311,0.000722616275395852
567,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,5,1.25,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.60207089306612e-05,9.18804157550022e-05,NA,0.75,1,99.9180098941879,100,1,68.3442528571656,98.9037302645036,99.909054565871,99.9180098941879,33.9724004041509,1.91747051059452,0.0191494530224932,1.60207089306612e-05
568,20,20,5,5,"rectangle",400,"small",1,1,125,4,5,1.25,4,5,5,100,5,5,100,20,20,0,0,0,2000,2000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,4.92988544766995e-06,2.82694424440956e-05,NA,0.75,0.75,99.9180153566114,100,1,58.4845715799364,98.7457544025135,99.9158731301114,99.9180153566114,42.7640126474796,2.10781294663054,0.00664420862736134,4.92988544766995e-06
569,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,6,1.5,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,0.190611439713009,0.508795798640053,NA,0.75,0.75,99.8544326340437,100,1,52.25878425081,89.7146759168205,98.5945297175025,99.8544326340437,58.7142569209393,20.6732724089292,2.94877439645504,0.190611439713009
570,20,20,5,5,"rectangle",400,"small",1,1,125,4,6,1.5,4,5,5,100,5,5,100,20,20,0,0,0,2000,2000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,0.0577604784666183,0.267897454696331,NA,0.75,1,99.8576751479703,100,1,61.5782444180072,94.9776040944719,97.7597464919515,99.8576751479703,37.0143092162245,5.42701064184924,2.37588294473638,0.0577604784666183
571,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,7,1.75,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.87685830460665,3.08745818117487,NA,0.75,0.75,99.1107805488115,99.7417394076228,1,54.1499561510128,84.4767158792191,94.9795871908669,99.1107805488115,58.6560130792287,28.9539828888055,10.794369457439,1.87685830460665
572,20,20,5,5,"rectangle",400,"small",1,1,125,4,7,1.75,4,5,5,100,5,5,100,20,20,0,0,0,2000,2000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,0.432125206707543,1.05141238188749,NA,0.75,1,99.791158499775,100,1,63.7343423019992,96.5243380502019,99.3324310466816,99.791158499775,29.5834127752359,3.43943385397836,0.792866368055315,0.432125206707543
