"simulation","height1","width1","height2","width2","shape","area","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_up","prob_down","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
163,20,20,10,10,"rectangle",400,1,1,125,4,9,2.25,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8842542131038,100,1,0,0,1.24427394745159e-06,3.62056008401974e-06,NA,23.5376975822095,0.192401171983942,0.000493181926792486,92.3184093181443,99.6558035646282,99.8880463977151
164,20,20,10,10,"rectangle",400,1,1,125,4,9,2.25,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8886176074657,100,1,0,0,1.21219017410491e-06,3.54679927978041e-06,NA,23.380939763235,0.189138336091575,0.000482044051848081,92.8618873823253,99.679083112319,99.8880788379765
165,20,20,10,10,"rectangle",400,1,1,125,4,9,2.25,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8886232349519,100,1,0,0,7.34945746935756e-07,2.14653946563603e-06,NA,19.5606386334033,0.114484574099513,0.000291639395070223,94.2294814683167,99.8009538458264,99.8883603694564
166,20,20,10,10,"rectangle",400,1,1,125,4,7,1.75,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8723907242716,100,1,0,0,1.03024226801875e-05,2.97996325852667e-05,NA,33.3932315299139,1.36220551390149,0.00391502124676604,92.5524342820477,98.3785471235159,99.8670341292895
167,20,20,10,10,"rectangle",400,1,1,125,4,7,1.75,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.43887928680688e-07,8.21971793207487e-07,NA,1,1,99.9180182854137,100,1,74.1916419668288,99.8363654635027,99.917918784743,34.5735641673709,0.103158521754972,0.000121907291382191
168,20,20,10,10,"rectangle",400,1,1,125,4,7,1.75,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8709070263198,100,1,0,0,2.04626293045636e-05,5.9262574824036e-05,NA,37.8104353007555,2.62398343082364,0.00772606447786353,92.4268943572741,97.962805817504,99.8642204342975
169,20,20,10,10,"rectangle",400,1,1,125,4,7,1.75,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8720315306381,100,1,0,0,1.22885487900195e-05,3.55738141638638e-05,NA,35.197444409251,1.60116954526495,0.00465354312001349,92.682638697594,98.2534227650834,99.8664426902657
170,20,20,10,10,"rectangle",400,1,1,125,4,7,1.75,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8724199327013,100,1,0,0,1.98136469027615e-06,5.68120662530439e-06,NA,23.7465382748863,0.26989011611379,0.00074438971670309,94.1915256757826,99.2634640582457,99.8701670427886
171,20,20,10,10,"rectangle",400,1,1,125,4,8,2,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8821866623796,100,1,0,0,2.71431489955453e-06,7.89544264527186e-06,NA,27.0529518488338,0.386120745502985,0.00105545951193466,93.1019196361825,99.1881909823933,99.8733482322041
172,20,20,10,10,"rectangle",400,1,1,125,4,8,2,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8821955521877,100,1,0,0,2.50237626254901e-06,7.27930471330087e-06,NA,26.7734186399486,0.361355211026091,0.000975832378988991,93.2283807312425,99.1409672313773,99.8803672497323
