"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
13509,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,30,30,99.99260136,30,30,99.99260136,6758,6758,0,0,0,675750,675750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,1.05779862045575e-09,6.18346485349875e-09,NA,1,1,99.7143189196589,99.8002219755827,1,83.720080526082,99.6893724572784,99.714287151096,99.7143189196589,17.5271966517184,0.0112723607985621,3.45305943716928e-06,1.05779862045575e-09
13510,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,30,30,99.99260136,30,30,99.99260136,6758,6758,0,0,0,675750,675750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,1.0780912130543e-09,6.30208717973323e-09,NA,1,1,99.7143189188545,99.8002219755827,1,84.0079333518861,99.6875458295036,99.7142864152075,99.7143189188545,18.6138583708013,0.0114842650758263,3.51930226558767e-06,1.0780912130543e-09
13511,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,30,30,99.99260136,30,30,99.99260136,6758,6758,0,0,0,675750,675750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,1.06206391365084e-09,6.20839804026173e-09,NA,1,1,99.7143189148912,99.8002219755827,1,80.0318791319493,99.6855729276891,99.7142825899439,99.7143189148912,21.1516346962831,0.0113178022398052,3.46698298616867e-06,1.06206391365084e-09
13512,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,30,30,99.99260136,30,30,99.99260136,6758,6758,0,0,0,675750,675750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,1.01328101315993e-09,5.92323284448881e-09,NA,1,1,99.7143189173587,99.8002219755827,1,81.4618497316443,99.6856055080049,99.7142848729745,99.7143189173587,20.0182583055096,0.0107968107085415,3.30773701172583e-06,1.01328101315993e-09
13513,30,30,11,11,"cross",416,"small",NA,1,120,4,1,0.25,4,30,30,99.84,30,30,99.84,125,125,0,0,0,12480,12480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A1",0.75,0.75,97.0353853912753,97.3557692307692,1,0,0.25,0.0187892288079078,0.0407571263069008,NA,66.7247732436821,15.0535419367158,1.43019216762405,0.0187892288079078,66.1163861346111,93.5228155020635,97.1918160923965,97.0353853912753
13514,30,30,11,11,"cross",416,"small",NA,1,120,4,1,0.25,4,30,30,99.84,30,30,99.84,125,125,0,0,0,12480,12480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,97.1916884538802,97.3557692307692,1,0,0,0.0428691027973901,0.0736760379376361,NA,53.9312159386657,7.49206259416975,1.21425631005187,0.0428691027973901,74.9007660030753,96.7175032976768,97.1406301243028,97.1916884538802
13515,30,30,11,11,"cross",416,"small",NA,1,120,4,1,0.25,4,30,30,99.84,30,30,99.84,125,125,0,0,0,12480,12480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,96.5426982386249,97.3557692307692,1,0,0,0.167647858500041,0.347466727940766,NA,49.5133872217271,6.64631509173098,1.5261346677158,0.167647858500041,81.107576909219,95.1146314786215,95.9885610555629,96.5426982386249
13516,30,30,11,11,"cross",416,"small",NA,1,120,4,1,0.25,4,30,30,99.84,30,30,99.84,125,125,0,0,0,12480,12480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A2",1,1,97.0849583963709,97.3557692307692,1,0,0,0.535401868913763,1.04245904146914,NA,63.9982008001623,13.1227302131644,7.60147836004766,0.535401868913763,71.1658570162201,91.1350908939154,95.56329983229,97.0849583963709
13517,351,350,91,90,"cross",90090,"XL",NA,1,120,4,1,0.25,4,30,30,100,30,30,100,27027,27027,0,0,0,2702700,2702700,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,1.2468820392782e-09,7.2887691337492e-09,NA,1,1,99.8141108632584,99.9000999000999,1,78.5701681735299,99.7810109695688,99.8140688702116,99.8141108632584,24.1797360444329,0.013287243939398,4.07029021567591e-06,1.2468820392782e-09
13518,351,350,91,90,"cross",90090,"XL",NA,1,120,4,1,0.25,4,30,30,100,30,30,100,27027,27027,0,0,0,2702700,2702700,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,8.72499961210015e-10,5.10028261370594e-09,NA,1,1,99.8141108762508,99.9000999000999,1,82.0632861945243,99.78736011214,99.8140806904121,99.8141108762508,17.8777615578098,0.00927853260287783,2.84816694371532e-06,8.72499961210015e-10
