"height","width","timesteps","years","TOTALN","TOTALP","lossSAV","lossFP","minthresholdtomoveSAV","maxthresholdtomoveSAV","maxamounttomoveSAV","minthresholdtomoveFP","maxthresholdtomoveFP","maxamounttomoveFP","numbFPspecies","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","halfsatBSAV","halfsatB01","halfsatB02","halfsatB03","halfsatB04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","halfsatPSAV","halfsatP01","halfsatP02","halfsatP03","halfsatP04","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","lightlimitation","shadingbyFP","lightattenuation","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV"
20,20,150,10,1,0.25,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,39600,400,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.1,9.2972963488797e-09,6.19720053652947e-08,NA,0.8,0.9,70.6497158425725,74.9338617274889,20
20,20,150,10,2,0.5,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,39600,400,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.1,3.45810456680257e-07,2.2223820234786e-06,NA,0.8,0.9,70.649626499945,74.9330080683526,20
20,20,150,10,3,0.75,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,39600,400,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.1,9.06525095856281e-06,5.67270872071484e-05,NA,0.8,0.8,70.6493525388196,74.9331586826319,20
20,20,150,10,5,1.25,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,39600,400,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,1,1,83.7799757374748,88.427406907894,11,0,0,38.1403822043628,46.0151347927772,NA
20,20,150,10,7.5,1.875,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,39600,400,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,1,1,85.2283258948512,89.0407091357856,10,0,0,37.5099762896145,45.4067647036819,NA
20,20,150,10,10,2.5,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,39600,400,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,1,1,85.6063631157573,89.2707201099656,10,0,0,37.3266164168616,45.2729152962101,NA
20,20,150,10,1,0.25,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,32000,8000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.1,9.48878254226084e-09,6.32481249517112e-08,NA,0.8,0.9,70.6496972590105,74.9330256130785,20
20,20,150,10,2,0.5,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,32000,8000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.1,3.46826107778299e-07,2.22893473070717e-06,NA,0.8,0.9,70.6493826733192,74.932880731008,20
20,20,150,10,3,0.75,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,32000,8000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.1,9.07636341540018e-06,5.67963681432314e-05,NA,0.8,0.8,70.6493672129138,74.9330628939484,20
20,20,150,10,5,1.25,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,32000,8000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,1,1,83.783095668917,88.4333193627884,11,0,0,38.1384947470868,46.0134111533528,NA
20,20,150,10,7.5,1.875,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,32000,8000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,1,1,85.2290708558778,89.043687942677,10,0,0,37.5098369682223,45.4054467629613,NA
20,20,150,10,10,2.5,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,32000,8000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,1,1,85.6080031845544,89.2720014509766,10,0,0,37.3256127645596,45.2723005829462,NA
20,20,150,10,1,0.25,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,20000,20000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.1,9.55864484368523e-09,6.37137827186491e-08,NA,0.8,0.9,70.6492234566472,74.932774314158,20
20,20,150,10,2,0.5,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,20000,20000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.1,3.47546620072612e-07,2.23353105580998e-06,NA,0.8,0.9,70.6495198170513,74.933207832121,20
20,20,150,10,3,0.75,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,20000,20000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.1,9.07780500164547e-06,5.68035892660554e-05,NA,0.8,0.8,70.6495606273717,74.9339738312911,20
20,20,150,10,5,1.25,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,20000,20000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,1,1,83.7815381886672,88.4341848971983,11,0,0,38.13940812171,46.0146622487315,NA
20,20,150,10,7.5,1.875,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,20000,20000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,1,1,85.2312426946557,89.0455033045978,10,0,0,37.5084596408116,45.404533436857,NA
20,20,150,10,10,2.5,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,20000,20000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,1,1,85.6072464511615,89.2708870826017,10,0,0,37.326259040178,45.2722921517033,NA
20,20,150,10,1,0.25,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,8000,32000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0,0,6.04420190873779e-12,4.02878728924105e-11,NA,0.9,1,70.6499033010815,74.9338497858883,20
20,20,150,10,2,0.5,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,8000,32000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0,0,7.25532018224829e-10,4.66270587719829e-09,NA,0.9,0.9,70.6490289291078,74.9320463660602,20
20,20,150,10,3,0.75,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,8000,32000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.1,9.04446163373149e-06,5.65943926891683e-05,NA,0.8,0.8,70.6494932899406,74.932351371568,20
20,20,150,10,5,1.25,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,8000,32000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,1,1,83.8205422718363,88.438931185123,10.1428571428571,0,0,37.7462750315755,45.536477047114,NA
20,20,150,10,7.5,1.875,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,8000,32000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,1,1,85.2360155449381,89.0387845317583,10,0,0,37.1326548475812,44.94932908976,NA
20,20,150,10,10,2.5,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,8000,32000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,1,1,85.6096889466577,89.2759627282147,10,0,0,36.9526301008245,44.8183262532586,NA
20,20,150,10,1,0.25,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,400,39600,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0,0,2.68118662398361e-11,1.78716792917995e-10,NA,0.9,0.9,70.6492771534094,74.9331963170916,20
20,20,150,10,2,0.5,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,400,39600,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0,0,1.95196583446657e-09,1.25445368627747e-08,NA,0.9,0.9,70.6500449137231,74.9328359773698,20
20,20,150,10,3,0.75,0.05,0.05,50,100,5,50,100,5,1,396,396,0,0,0,400,39600,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0,0.1,1.60844815181506e-07,1.00650021528588e-06,NA,0.8,0.9,70.6497242901426,74.9330609988615,20
