"height","width","timesteps","years","TOTALN","TOTALP","loss","thresholdtomove","maxthresholdtomove","maxamounttomove","numbspecies","initial01cells","initial02cells","initial03cells","initial04cells","initial01totmass","initial02totmass","initial03totmass","initial04totmass","maxrgr01","maxrgr02","maxrgr03","maxrgr04","overwinter01","overwinter02","overwinter03","overwinter04","halfsatB01","halfsatB02","halfsatB03","halfsatB04","halfsatN01","halfsatN02","halfsatN03","halfsatN04","halfsatP01","halfsatP02","halfsatP03","halfsatP04","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakeP01","uptakeP02","uptakeP03","uptakeP04","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover"
20,20,150,10,10,2.5,0.05,25,100,5,1,20,0,0,0,400,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.9,1,77.0072367165023
20,20,150,10,10,2.5,0.05,25,100,5,1,20,0,0,0,4000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.9,1,77.0100962297049
20,20,150,10,1,0.25,0.05,25,100,5,1,200,0,0,0,400,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0,1,69.9357253930786
20,20,150,10,1,0.25,0.05,25,100,5,1,200,0,0,0,4000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0,1,69.9320487873524
20,20,150,10,1,0.25,0.05,25,100,5,1,200,0,0,0,10000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.1,1,69.9298545622194
20,20,150,10,1,0.25,0.05,25,100,5,1,200,0,0,0,20000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.1,1,69.9311281674144
20,20,150,10,1,0.25,0.05,25,100,5,1,200,0,0,0,30000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.2,1,69.9348332770573
20,20,150,10,1,0.25,0.05,25,100,5,1,200,0,0,0,34000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.2,1,69.9316504390044
20,20,150,10,1,0.25,0.05,25,100,5,1,200,0,0,0,40000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.2,1,69.9330987755845
20,20,150,10,2,0.5,0.05,25,100,5,1,200,0,0,0,400,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.9,1,74.4294810775542
20,20,150,10,2,0.5,0.05,25,100,5,1,200,0,0,0,4000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,1,1,74.4277511817021
20,20,150,10,2,0.5,0.05,25,100,5,1,200,0,0,0,10000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,1,1,74.4293639254239
