"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04","final_FP01_yr04","final_FP02_yr04","final_FP03_yr04","final_FP04_yr04"
11,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,15,15,100,1,1,100,1500,100,0,0,0,150000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,2.37988355445551e-13,1.73332388672968e-12,NA,1,1,99.9330844889412,100,1,90.7515353052225,99.9320157580361,99.9330842003464,99.9330844889412,0.459571191884789,5.49782594206379e-05,3.61720509537691e-09,2.37988355445551e-13,8.3444879920447e-16,NA,NA,NA
12,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,15,15,100,5,5,100,1500,500,0,0,0,150000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,1.102389876592e-12,8.0289588203111e-12,NA,1,1,99.9330844889,100,1,89.7203171560842,99.9315561799205,99.9330840501951,99.9330844889,2.37784719420122,0.000254665584989412,1.6755316751585e-08,1.102389876592e-12,3.86526436159106e-15,NA,NA,NA
13,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,15,15,100,15,15,100,1500,1500,0,0,0,150000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,3.47913705573032e-12,2.53393547453771e-11,NA,1,1,99.933084488757,100,1,87.2329581058696,99.9298731024791,99.9330835246682,99.933084488757,6.4642092987878,0.000803723684103995,5.28796976732464e-08,3.47913705573032e-12,1.21987554096366e-14,NA,NA,NA
14,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,15,15,100,30,30,100,1500,3000,0,0,0,150000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,7.36483798785439e-12,5.3639807638247e-11,NA,1,1,99.9330844884802,100,1,82.3345731293938,99.9265135577757,99.9330825010033,99.9330844884802,12.5862984405362,0.00170136954493524,1.11938794012594e-07,7.36483798785439e-12,2.58230290460853e-14,NA,NA,NA
15,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,15,15,100,45,45,100,1500,4500,0,0,0,150000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,1.20694757401629e-11,8.79047655989828e-11,NA,1,1,99.9330844881848,100,1,77.7696936666257,99.9230287110069,99.933081413059,99.9330844881848,18.2348849680571,0.00278820092531386,1.83444980188197e-07,1.20694757401629e-11,4.23187072306591e-14,NA,NA,NA
16,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,30,30,100,1,1,100,3000,100,0,0,0,300000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,1.31133943779803e-13,9.5507864949553e-13,NA,1,1,99.9330844889754,100,1,93.8682341473284,99.9324936846193,99.9330843297458,99.9330844889754,0.340497463145941,3.02935489165916e-05,1.99311587628568e-09,1.31133943779803e-13,4.59789562884886e-16,NA,NA,NA
17,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,30,30,100,5,5,100,3000,500,0,0,0,300000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,6.76767277569771e-13,4.92905161587657e-12,NA,1,1,99.9330844889337,100,1,92.7283728295608,99.9319789069634,99.9330841753998,99.9330844889337,1.7123134976307,0.000156341563332425,1.02862429559008e-08,6.76767277569771e-13,2.37292131815322e-15,NA,NA,NA
18,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,30,30,100,15,15,100,3000,1500,0,0,0,300000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,2.0148631117426e-12,1.46747110947323e-11,NA,1,1,99.9330844888416,100,1,90.8173843301092,99.9308636637498,99.9330838352836,99.9330844888416,4.6891364368468,0.000465458122130959,3.06240744451683e-08,2.0148631117426e-12,7.06463180102797e-15,NA,NA,NA
19,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,30,30,100,30,30,100,3000,3000,0,0,0,300000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,3.66393464249243e-12,2.66852780395866e-11,NA,1,1,99.9330844887544,100,1,88.6038837758493,99.9298630451797,99.9330835161559,99.9330844887544,9.35403928790167,0.00084641420123994,5.56884517870248e-08,3.66393464249243e-12,1.28467036005505e-14,NA,NA,NA
20,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,30,30,100,45,45,100,3000,4500,0,0,0,300000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,6.91639901061656e-12,5.03737235076527e-11,NA,1,1,99.9330844885837,100,1,87.0476584505103,99.9279269992508,99.9330828923425,99.9330844885837,14.4590358495679,0.00159777423694257,1.05122932158032e-07,6.91639901061656e-12,2.4250685872521e-14,NA,NA,NA
21,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,45,45,100,1,1,100,4500,100,0,0,0,450000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,9.71052176427895e-14,7.07239616624183e-13,NA,1,1,99.9330844889848,100,1,95.3249200658498,99.9326266367227,99.9330843656884,99.9330844889848,0.276139366575574,2.24324915295538e-05,1.47591039645888e-09,9.71052176427895e-14,3.40476037606188e-16,NA,NA,NA
22,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,45,45,100,5,5,100,4500,500,0,0,0,450000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,4.66033876228056e-13,3.39423182356553e-12,NA,1,1,99.9330844889624,100,1,94.7038999638637,99.9323600707133,99.9330842829872,99.9330844889624,1.39662402902963,0.00010765956542472,7.08328820765912e-09,4.66033876228056e-13,1.63403544546984e-15,NA,NA,NA
23,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,45,45,100,15,15,100,4500,1500,0,0,0,450000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,1.53861759145041e-12,1.12061055206276e-11,NA,1,1,99.933084488911,100,1,93.8242578269421,99.9317883740672,99.9330840960709,99.933084488911,4.06047599322825,0.000355439583508935,2.33855785976748e-08,1.53861759145041e-12,5.39479168725297e-15,NA,NA,NA
24,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,45,45,100,30,30,100,4500,3000,0,0,0,450000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,3.23393566722293e-12,2.35534966811729e-11,NA,1,1,99.9330844887796,100,1,90.8676624529879,99.9301621702859,99.9330836088699,99.9330844887796,8.27876888075054,0.000747078997794957,4.91528610792051e-08,3.23393566722293e-12,1.13390158487652e-14,NA,NA,NA
25,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,45,45,100,45,45,100,4500,4500,0,0,0,450000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,5.13267418350082e-12,3.73824456596077e-11,NA,1,1,99.9330844886461,100,1,88.6362559162266,99.9285425631929,99.9330831150932,99.9330844886461,12.4722146221164,0.00118571167373135,7.80119480012774e-08,5.13267418350082e-12,1.79964847486411e-14,NA,NA,NA
26,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,7.11303115880217e-11,5.04291336840065e-10,NA,0.75,0.75,99.9330844847455,100,1,58.9386455642686,99.8332320657026,99.9330686048628,99.9330844847455,6.61222591261086,0.0080453483496036,7.57832003774947e-07,7.11303115880217e-11,2.55544445843618e-13,NA,NA,NA
27,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,8.1309809247858e-10,5.76460745905914e-09,NA,0.75,0.75,99.9330843988219,100,1,39.3777192188019,97.7499619517506,99.9327460855929,99.9330843988219,28.2377900280005,0.0786220385395415,8.6627871547896e-06,8.1309809247858e-10,2.92115551272761e-12,NA,NA,NA
28,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0.25,3.43761092391785e-07,2.43717407391173e-06,NA,0.5,0.75,99.932830324666,100,1,11.1351358012165,67.7093852356166,98.9842438040085,99.932830324666,66.7692613312439,12.8193157781563,0.00345807800091619,3.43761092391785e-07,1.23501288367657e-09,NA,NA,NA
29,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,1,1,100,30,30,100,100,3000,0,0,0,10000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0.25,0.25,9.52592275224067e-07,6.75362420293042e-06,NA,0.5,0.5,99.9328653385087,100,1,6.6041695468093,55.8113487119264,98.7286976436213,99.9328653385087,77.0151601867279,23.2120600573385,0.00940210635115039,9.52592275224067e-07,3.42232957056134e-09,NA,NA,NA
30,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,1,1,100,45,45,100,100,4500,0,0,0,10000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0.25,1.67639120101413e-07,1.18850833479122e-06,NA,0.75,0.75,99.9330765412074,100,1,8.17246480871378,74.4055582841579,99.88331404961,99.9330765412074,69.0367095108847,8.53421833698541,0.00178195099746009,1.67639120101413e-07,6.02264369034087e-10,NA,NA,NA
31,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,5.47902680153646e-12,3.88445613191235e-11,NA,1,1,99.9330844887247,100,1,82.7217159011556,99.9293350940386,99.9330834046636,99.9330844887247,2.14915300919067,0.000621821138659387,5.8374315125206e-08,5.47902680153646e-12,1.96840817423801e-14,NA,NA,NA
32,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,2.68961428719837e-11,1.90685117793755e-10,NA,1,1,99.9330844881414,100,1,76.5280213519437,99.9226736062504,99.9330813068254,99.9330844881414,10.1506346243804,0.00305261346303618,2.86555246734246e-07,2.68961428719837e-11,9.6627721313969e-14,NA,NA,NA
33,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,5,5,100,15,15,100,500,1500,0,0,0,50000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,6.90588662401437e-11,4.89605446646535e-10,NA,0.75,1,99.9330844864907,100,1,66.5837506187266,99.891611230077,99.9330752587034,99.9330844864907,23.2638064517928,0.00782753448110628,7.35762717617939e-07,6.90588662401437e-11,2.48102522104176e-13,NA,NA,NA
